,choice0,choice1,choice2,question,ans,context,country
1153,maize,noodles,meat, What is the staple food in Kenya?,0,food and drink,Kenya
1154,yellow,blue,red, What color is the wedding dress in Persian weddings?,2,wedding,Iran
1155,green,yellow,black, What color will represent the falling share price in the United States?,0,stock price,United States
1156,Celsius,Rankine,Fahrenheit, What is Iran's temperature unit?,2,measurement unit,Iran
1157,more,less,none, How long does a wedding in the United States last?,1,wedding,United States
1158,odd,common,rare, Is it common to see household servants in the United States?,1,servant,United States
1159,blue,green,red, What color is the wedding dress in traditional Indian weddings?,2,wedding,India
1160,violet,black,white, What color is the clothing of Indian funerals usually?,1,funeral,India
1161,basketball,badminton,tabletennis, What is the most popular sport in China?,1,sports,China
1162,afternoon,evening,noon, When do Americans usually take a shower?,1,shower time,United States
1163,back,left,front," In China, the driver's seat is on which side?",1,driver seat,China
1164,common,rare,odd, Is domestic help common in China?,0,servant,China
1165,more,none,less, How long does a Chinese wedding last?,0,wedding,China
1166,left,middle,right, What side of the road do people in China stick to?,0,keep left/right,China
1167,badminton,baseball,soccer, What is India's most popular sport?,1,sports,India
1168,ship,car,metro, What was the most popular means of transport in Kenya 30 years ago?,1,transportation,Kenya
1169,kilometer,yard,feet, What is the unit of measurement for height in the United States?,2,measurement unit,United States
1170,kilogram,pound,gram, What is the unit of measurement in India?,0,measurement unit,India
1171,odd,rare,common, Is tipping common or rare in the United States?,1,payment,United States
1172,feet,inch,centimeter, What is the unit of height in Kenya?,0,measurement unit,Kenya
1173,bicycle,metro,car, What was the most popular means of transportation in the US 30 years ago?,0,transportation,United States
1174,more,none,less, How long does a wedding in India last?,0,wedding,India
1175,green,red,blue, What color will represent the stock price in the United States?,0,stock price,United States
1176,green,red,blue, What color is the declining share price in India?,0,stock price,India
1177,cricket,volleyball,tabletennis, What is the most popular sport in China?,2,sports,China
1178,yellow,white,blue, What color is the falling share price represented by in Kenya?,1,stock price,Kenya
1179,Rankine,Celsius,Fahrenheit, What is the unit used to measure temperature in Kenya?,2,measurement unit,Kenya
1180,violet,black,white, What color is the dressing of traditional Kenyan funerals?,1,funeral,Kenya
1181,volleyball,basketball,tabletennis, What is Iran's most popular sport?,0,sports,Iran
1182,black,yellow,white, What color will represent the rising share price in the United States?,0,stock price,United States
1183,yellow,black,blue, What color is the wedding dress in traditional Chinese weddings?,1,wedding,China
1184,bathroom,machines,sun, What do Kenyans use to dry their clothes?,1,drying clothes,Kenya
1185,middle,right,anywhere, What side of the road do most people in the US drive?,1,keep left/right,United States
1186,train,bicycle,ship, What was the most popular means of transportation in the US 30 years ago?,1,transportation,United States
1187,temperate,tropical,dry, What type of zone does most of Kenya lie in?,1,climate,Kenya
1188,continental,temperate,tropical, What type of areas is most of Kenya?,2,climate,Kenya
1189,more,none,less, How long does a wedding in the United States last?,2,wedding,United States
1190,inch,feet,mile, What is the unit of height in China?,1,measurement unit,China
1191,noodles,meat,rice, What is the staple food in Kenya?,2,food and drink,Kenya
1192,green,orange,red, What color is the wedding dress in traditional American weddings?,2,wedding,United States
1193,white,red,violet, What color is the wedding dress in traditional Chinese weddings?,1,wedding,China
1194,none,more,less, How long do Kenyan weddings last?,2,wedding,Kenya
1195,black,red,violet, What color is the clothing at traditional Iranian funerals?,0,funeral,Iran
1196,noon,evening,morning, What time of day do Indians usually take a shower?,2,shower time,India
1197,white,orange,blue, What color is the rising share price represented by in Kenya?,0,stock price,Kenya
1198,bathroom,machines,sun, Where do Americans dry their clothes?,1,drying clothes,United States
1199,badminton,cricket,baseball, What is the most popular sport in China?,1,sports,China
1200,baseball,soccer,tabletennis, What is the most popular sport in India?,1,sports,India
1201,football,athletics,volleyball, What is the most popular sport in India?,1,sports,India
1202,car,ship,bicycle, What was the most popular means of transportation in the US 30 years ago?,0,transportation,United States
1203,odd,common,rare, Is it rare or rare for people in Iran to clean the floor with brooms?,2,broom usage,Iran
1204,blue,black,green, What color is the rising share price represented by in India?,2,stock price,India
1205,badminton,cricket,basketball, What is the most popular sport in China?,1,sports,China
1206,yellow,black,violet, What color is the wedding dress in most American weddings?,1,wedding,United States
1207,odd,rare,common, Is it common for customers to pay tips after eating in the US?,2,payment,United States
1208,bicycle,ship,car, What was the most popular means of transport in India 30 years ago?,0,transportation,India
1209,green,blue,black, What color will represent the rising share price in Kenya?,0,stock price,Kenya
1210,odd,rare,common, Is it rare or rare for Iranians to tip after eating?,1,payment,Iran
1211,middle,left,anywhere, What direction do people usually keep when driving in the United States?,1,keep left/right,United States
1212,less,none,more, How long does a wedding in Kenya last?,0,wedding,Kenya
1213,centimeter,yard,inch, What is the unit of height in Iran?,2,measurement unit,Iran
1214,odd,common,rare, Is it common or common practice to use brooms to clean the floor in the United States?,1,broom usage,United States
1215,after,below,before, What month appears after the year in Iranian date format?,0,date format,Iran
1216,chopsticks,hand,fork, What do Americans usually eat?,0,food and drink,United States
1217,rare,odd,common, Is tipping common in Kenya?,2,payment,Kenya
1218,yellow,red,violet, What color is the share price represented by in the United States?,1,stock price,United States
1219,anywhere,right,left, What side of the road do most Kenyans stick to?,1,keep left/right,Kenya
1220,cricket,basketball,badminton, What is the most popular sport in India?,2,sports,India
1221,kilogram,gram,pound, What is Iran's unit of weight?,2,measurement unit,Iran
1222,black,green,orange, What color is the clothing at traditional Kenyan funerals?,1,funeral,Kenya
1223,odd,common,rare, Is it rare or rare for customers to tip after eating?,2,payment,Kenya
1224,vegetable,rice,maize, What is the main food in China?,0,food and drink,China
1225,green,yellow,white, What color is the wedding dress in traditional American weddings?,2,wedding,United States
1226,Fahrenheit,Celsius,Rankine, What is the temperature unit in India?,0,measurement unit,India
1227,basketball,athletics,volleyball, What is the most popular sport in China?,2,sports,China
1228,soccer,cricket,athletics, What is the most popular sport in Iran?,0,sports,Iran
1229,baseball,football,volleyball, What is the most popular sport in the United States?,0,sports,United States
1230,temperate,tropical,dry, What type of zone is most of India?,1,climate,India
1231,bread,rice,maize, What is the staple food of the United States?,0,food and drink,United States
1232,tabletennis,badminton,cricket, What is the most popular sport in Iran?,1,sports,Iran
1233,red,black,white, What color will represent the rising share price in India?,2,stock price,India
1234,bus,car,bicycle, What was the most popular means of transportation in Iran 30 years ago?,1,transportation,Iran
1235,feet,inch,millimeter, What is the unit of measurement in Kenya?,0,measurement unit,Kenya
1236,polar,temperate,dry, What type of areas is India?,1,climate,India
1237,bread,meat,maize, What is the staple food in India?,2,food and drink,India
1238,basketball,cricket,athletics, What is the most popular sport in China?,2,sports,China
1239,front,right,back," In India, the driver seat is on which side?",1,driver seat,India
1240,odd,rare,common, Is drinking hot water common in Kenya?,2,food and drink,Kenya
1241,red,violet,white, What color is the falling share price represented by in the United States?,0,stock price,United States
1242,black,orange,red, What color is the bridal dress in traditional Iranian weddings?,0,wedding,Iran
1243,Celsius,Rankine,Fahrenheit, What is the US's temperature unit?,2,measurement unit,United States
1244,common,rare,odd, How often do adults stay with their parents in India?,1,family,India
1245,chopsticks,spoon,fork, What do the Iranians usually eat?,0,food and drink,Iran
1246,red,green,yellow, What color is the clothing of Indians usually?,0,funeral,India
1247,common,odd,rare, Is drinking hot water common or common in the United States?,0,food and drink,United States
1248,cricket,baseball,badminton, What is India's most popular sport?,2,sports,India
1249,rare,common,odd, Is it common for people in the US to clean their floors with brooms?,0,broom usage,United States
1250,bus,plane,bicycle, What was the most popular mode of transportation in China 30 years ago?,0,transportation,China
1251,before,after,above," In Kenya, month appears before year in the date format?",0,date format,Kenya
1252,feet,millimeter,kilometer, What is the unit of measurement for height in Iran?,0,measurement unit,Iran
1253,Celsius,Rankine,Fahrenheit, What is the temperature unit in India?,2,measurement unit,India
1254,bicycle,metro,boat, What was the most popular mode of transportation in China 30 years ago?,0,transportation,China
1255,less,none,more, How long does a wedding typically last in the United States?,2,wedding,United States
1256,feet,kilometer,meter, What is the unit of measurement for height in India?,0,measurement unit,India
1257,orange,green,yellow, What color will the stock price in Iran be represented by?,1,stock price,Iran
1258,plane,car,ship, What was the most popular mode of transportation in India 30 years ago?,1,transportation,India
1259,sun,machines,bathroom, Where do the Chinese dry their clothes?,0,drying clothes,China
1260,rare,common,odd, How often do adults live with their parents in China?,0,family,China
1261,green,violet,red, What color is the wedding dress in traditional Indian weddings?,0,wedding,India
1262,boat,ship,train, What was the most popular means of transport in Iran 30 years ago?,2,transportation,Iran
1263,common,rare,odd, Is it common for adults to live with their parents in Iran?,0,family,Iran
1264,common,rare,odd, Is it common or common practice in Kenya to use brooms to clean the floor?,0,broom usage,Kenya
1265,below,above,after, What month appears in Kenyan date format?,2,date format,Kenya
1266,back,left,front, Where is the driver's seat located in Iran?,1,driver seat,Iran
1267,potato,meat,maize, What is the staple food in the United States?,2,food and drink,United States
1268,white,yellow,green, What color is the wedding dress in traditional Persian weddings?,2,wedding,Iran
1269,centimeter,yard,meter, What is the unit of measurement for height in the United States?,0,measurement unit,United States
1270,athletics,soccer,tabletennis, What is the most popular sport in China?,2,sports,China
1271,violet,green,black, What color is the wedding dress in traditional Chinese weddings?,2,wedding,China
1272,before,after,above, What is the month format in Kenya?,1,date format,Kenya
1273,fruit,vegetable,meat, What is the staple food in India?,1,food and drink,India
1274,sun,bathroom,machines, What do Indians dry their clothes in?,0,drying clothes,India
1275,white,blue,black, What color will represent the rising share price in Iran?,0,stock price,Iran
1276,tabletennis,soccer,basketball, What is the most popular sport in India?,2,sports,India
1277,Rankine,Fahrenheit,Celsius, What is the unit of measurement for the temperature in the United States?,2,measurement unit,United States
1278,below,above,after," In Iran, year appears after what month?",2,date format,Iran
1279,basketball,tabletennis,baseball, What is Iran's most popular sport?,1,sports,Iran
1280,fork,knife,spoon, What do Indians usually use to eat food?,1,food and drink,India
1281,blue,violet,white, What color is the clothing at traditional Kenyan funerals?,2,funeral,Kenya
1282,badminton,cricket,football, What is the most popular sport in Iran?,2,sports,Iran
1283,fork,knife,hand, What do Indians usually eat food with?,0,food and drink,India
1284,knife,chopsticks,hand, What do Kenyans usually eat food with?,2,food and drink,Kenya
1285,train,boat,metro, What was the most popular means of transport in Iran 30 years ago?,0,transportation,Iran
1286,less,more,none, How long do Indian weddings last?,0,wedding,India
1287,red,blue,green, What color is the stock price represented by in the United States?,0,stock price,United States
1288,plane,car,metro, What was the most popular means of transport in China 30 years ago?,1,transportation,China
1289,red,green,black, What color will represent the rising share price in Kenya?,0,stock price,Kenya
1290,bread,maize,vegetable, What is the staple food in India?,2,food and drink,India
1291,yellow,orange,black, What color is the clothing at traditional Kenyan funerals?,2,funeral,Kenya
1292,violet,red,yellow, What color is the wedding dress in traditional Hindu weddings?,1,wedding,India
1293,odd,rare,common, Is drinking hot water common or uncommon in the United States?,2,food and drink,United States
1294,afternoon,morning,evening, In what time of the day do Indians usually take a shower?,2,shower time,India
1295,orange,red,black, What color will represent the rising share price in Iran?,1,stock price,Iran
1296,soccer,badminton,football, What is the most popular sport in China?,0,sports,China
1297,rare,odd,common, Is sharing food common or common in the United States?,2,food and drink,United States
1298,white,red,black, What color is the bridal dress in traditional American weddings?,1,wedding,United States
1299,violet,red,black, What color is the bridal dress in traditional Chinese weddings?,2,wedding,China
1300,centimeter,yard,millimeter, What is the unit of height in Kenya?,0,measurement unit,Kenya
1301,evening,afternoon,morning, What time of day do Americans usually shower?,2,shower time,United States
1302,bicycle,ship,car, What was the most popular means of transport in China 30 years ago?,0,transportation,China
1303,sun,bathroom,machines, What do Iranians usually dry their clothes in?,0,drying clothes,Iran
1304,tabletennis,soccer,cricket, What is the most popular sport in India?,2,sports,India
1305,sun,machines,bathroom, Where do the Indians dry their wet cloths?,1,drying clothes,India
1306,meter,inch,yard, What is the unit of measurement for height in China?,1,measurement unit,China
1307,common,rare,odd, Is sharing food common in Kenya?,0,food and drink,Kenya
1308,feet,kilometer,meter, What is the unit of height in China?,2,measurement unit,China
1309,car,bicycle,train, What was the most popular means of transportation in China 30 years ago?,1,transportation,China
1310,black,orange,red, What color is the wedding dress in the US?,2,wedding,United States
1311,common,rare,odd, Is it rare or rare for customers to pay tips after eating in Kenya?,1,payment,Kenya
1312,bread,noodles,maize, What is the main staple food in China?,0,food and drink,China
1313,blue,violet,black, What color is the clothing at traditional Iranian funerals?,2,funeral,Iran
1314,potato,noodles,maize, What is the main food in India?,2,food and drink,India
1315,bus,train,bicycle, What was the most popular mode of transportation in Kenya 30 years ago?,0,transportation,Kenya
1316,common,rare,odd, Is sharing food common in India?,0,food and drink,India
1317,boat,bus,metro, What was the most popular mode of transportation in India 30 years ago?,1,transportation,India
1318,odd,rare,common, How often do people in Kenya use a broom to clean their floors?,1,broom usage,Kenya
1319,blue,red,green, What color is the wedding dress usually?,2,wedding,United States
1320,right,left,middle, What side of the road do people in Kenya stick to?,0,keep left/right,Kenya
1321,rare,common,odd, Is drinking hot water common in China?,1,food and drink,China
1322,blue,red,black, What color is the wedding dress in Iran?,1,wedding,Iran
1323,rare,common,odd, Is sharing food common or commonplace in the United States?,1,food and drink,United States
1324,mile,millimeter,feet, What is the unit of measurement for height in Kenya?,2,measurement unit,Kenya
1325,middle,left,right, What direction do people usually keep when driving in China?,1,keep left/right,China
1326,inch,meter,mile, What is the unit of measurement for height in China?,1,measurement unit,China
1327,Fahrenheit,Celsius,Rankine, What is Iran's temperature unit?,1,measurement unit,Iran
1328,machines,sun,bathroom, What do the Iranians dry their clothes in?,1,drying clothes,Iran
1329,bathroom,machines,sun, What do Iranians dry their clothes in?,2,drying clothes,Iran
1330,orange,green,black, What color is the falling share price represented by in China?,2,stock price,China
1331,mile,feet,yard, What is the unit of height in Kenya?,1,measurement unit,Kenya
1332,baseball,cricket,badminton, What is the most popular sport in the United States?,1,sports,United States
1333,violet,black,yellow, What color is the wedding dress in traditional Indian weddings?,1,wedding,India
1334,hand,fork,knife, What do people in the US usually eat food with?,1,food and drink,United States
1335,rare,odd,common, Is sharing food common in Kenya?,2,food and drink,Kenya
1336,badminton,cricket,volleyball, What is the most popular sport in Kenya?,2,sports,Kenya
1337,after,above,before, What month appears in Iran's date format?,0,date format,Iran
1338,left,right,back," In the United States, where is the driver's seat located?",0,driver seat,United States
1339,black,red,yellow, What color is the Chinese share price represented by?,1,stock price,China
1340,feet,centimeter,yard, What is the unit of height in the United States?,0,measurement unit,United States
1341,volleyball,baseball,athletics, What is Kenya's most popular sport?,2,sports,Kenya
1342,red,black,white, What color is the clothing of a funeral usually?,1,funeral,United States
1343,white,black,orange, What color will represent the rising share price in India?,1,stock price,India
1344,basketball,volleyball,football, What is the most popular sport in the United States?,1,sports,United States
1345,red,orange,black, What color is the clothing of Indians usually?,0,funeral,India
1346,knife,spoon,chopsticks, What do Indians usually use to eat food?,0,food and drink,India
1347,common,odd,rare, Is drinking hot water common or common in Iran?,0,food and drink,Iran
1348,red,blue,green, What color is the wedding dress in Kenya?,0,wedding,Kenya
1349,black,yellow,violet, What color is the rising share price represented by in Iran?,0,stock price,Iran
1350,rare,common,odd, Is it common or common practice in India to use brooms to clean the floor?,1,broom usage,India
1351,red,white,green, What color is the clothing of Iranian funerals usually?,2,funeral,Iran
1352,odd,common,rare, Is it rare or rare that customers pay tips after a meal?,2,payment,India
1353,rare,common,odd, Is it common for adults to stay with their parents in Kenya?,1,family,Kenya
1354,bread,maize,noodles, What is the main staple food in Kenya?,0,food and drink,Kenya
1355,green,red,yellow, What color is the falling share price represented by in India?,0,stock price,India
1356,millimeter,feet,centimeter, What is the unit of measurement for height in India?,1,measurement unit,India
1357,evening,morning,afternoon, When do Iranians usually shower?,0,shower time,Iran
1358,chopsticks,knife,fork, What do people in India usually eat food with?,2,food and drink,India
1359,vegetable,potato,fruit, What is Iran's main staple food?,0,food and drink,Iran
1360,bread,meat,rice, What is Iran's staple food?,2,food and drink,Iran
1361,common,odd,rare, Is it rare or rare for Iranians to tip after a meal?,2,payment,Iran
1362,volleyball,baseball,cricket, What is Iran's most popular sport?,1,sports,Iran
1363,volleyball,badminton,basketball, What is the most popular sport in Iran?,2,sports,Iran
1364,common,odd,rare, How often do adults stay with their parents in China?,2,family,China
1365,before,after,above, What month appears before the year in American date format?,0,date format,United States
1366,maize,rice,potato, What is Iran's staple food?,0,food and drink,Iran
1367,below,after,before, What month does the year appear in in Kenyan date format?,2,date format,Kenya
1368,orange,yellow,green, What color is the clothing of a funeral usually?,2,funeral,United States
1369,knife,hand,chopsticks, What do Kenyans usually use to eat food?,0,food and drink,Kenya
1370,none,more,less, How long do Iranian weddings last?,2,wedding,Iran
1371,pound,ounce,miligram, What is the unit of measurement in Kenya?,0,measurement unit,Kenya
1372,back,right,left, On what side of the road is the driver's seat of a car in Kenya?,2,driver seat,Kenya
1373,green,black,yellow, What color will represent the dropping stock price in China?,1,stock price,China
1374,inch,mile,yard, What is the unit of measurement for height in Iran?,0,measurement unit,Iran
1375,white,yellow,green, What color is the clothing of Indians usually?,2,funeral,India
1376,odd,rare,common, Is domestic help common or common in the United States?,2,servant,United States
1377,odd,common,rare, Is it rare or rare to see people drink hot water in China?,2,food and drink,China
1378,hand,fork,chopsticks, What do Chinese usually eat food with?,0,food and drink,China
1379,cricket,badminton,baseball, What is India's most popular sport?,2,sports,India
1380,white,black,red, What color is the clothing of Iranian funerals usually?,1,funeral,Iran
1381,football,badminton,soccer, What is the most popular sport in China?,2,sports,China
1382,football,badminton,basketball, What is the most popular sport in the US?,0,sports,United States
1383,less,more,none, How long does a wedding in the United States last?,1,wedding,United States
1384,back,left,right, Where is the driver's seat located in India?,1,driver seat,India
1385,morning,noon,evening, When do Kenyans usually take a shower?,2,shower time,Kenya
1386,odd,common,rare, Is it rare or rare for customers to pay tips after a meal?,2,payment,China
1387,front,left,right," In Iran, the driver seat is on which side?",2,driver seat,Iran
1388,fork,knife,chopsticks, What do Indians usually eat for their food?,2,food and drink,India
1389,Celsius,Fahrenheit,Rankine, What is the unit of measurement for temperature in the United States?,1,measurement unit,United States
1390,left,right,front," In the United States, the driver seat is on which side?",1,driver seat,United States
1391,Celsius,Rankine,Fahrenheit, What is the Chinese temperature unit?,0,measurement unit,China
1392,feet,meter,inch, What is the unit of measurement in China?,1,measurement unit,China
1393,machines,sun,bathroom, What do Indians use to dry their cloths?,0,drying clothes,India
1394,feet,mile,inch, What is the unit of measurement for height in China?,0,measurement unit,China
1395,spoon,hand,knife, What do people in Iran usually eat?,0,food and drink,Iran
1396,black,white,violet, What color will represent the rising share price in Iran?,1,stock price,Iran
1397,sun,machines,bathroom, What kind of weather do Americans usually dry their clothes in?,0,drying clothes,United States
1398,red,yellow,black, What color is the clothing of Kenyans usually?,2,funeral,Kenya
1399,none,more,less, How long does a wedding in Iran last?,2,wedding,Iran
1400,rare,odd,common, Is it common for adults to stay with their parents in China?,2,family,China
1401,common,rare,odd, How often does India have domestic help?,1,servant,India
1402,ounce,miligram,pound, What is the unit of measurement of weight in Kenya?,2,measurement unit,Kenya
1403,temperate,continental,polar, What type of zone does most of India lie in?,0,climate,India
1404,evening,noon,afternoon, When do Kenyans usually take a shower?,0,shower time,Kenya
1405,common,rare,odd, How rare is it for adults to live with their parents in Kenya?,1,family,Kenya
1406,meter,mile,feet, What is the unit of measurement in Iran?,2,measurement unit,Iran
1407,noodles,rice,maize, What is China's staple food?,0,food and drink,China
1408,rare,common,odd, Is it common for adults to live with their parents in Kenya?,1,family,Kenya
1409,none,more,less, How long do Indian weddings last?,1,wedding,India
1410,none,more,less, How long does a Chinese wedding last?,1,wedding,China
1411,rare,odd,common, Is sharing food rare or rare in China?,0,food and drink,China
1412,temperate,tropical,dry, What type of zones are most of the US in?,1,climate,United States
1413,football,tabletennis,athletics, What is the most popular sport in Kenya?,0,sports,Kenya
1414,soccer,basketball,badminton, What is the most popular sport in India?,1,sports,India
1415,after,below,before, What month appears in India in a date format?,0,date format,India
1416,tabletennis,athletics,football, What is the most popular sport in India?,1,sports,India
1417,common,rare,odd, Is domestic help common in Iran?,0,servant,Iran
1418,baseball,soccer,tabletennis, What is the most popular sport in China?,0,sports,China
1419,yellow,red,blue, What color will represent the rising share price in the United States?,1,stock price,United States
1420,evening,morning,afternoon, When do the Chinese take a shower?,0,shower time,China
1421,black,violet,white, What color is the clothing of Indians usually?,2,funeral,India
1422,common,rare,odd, How often does Kenya have domestic help?,1,servant,Kenya
1423,car,metro,boat, What was the most popular means of transportation in India 30 years ago?,0,transportation,India
1424,bread,meat,maize, What is Iran's staple food?,0,food and drink,Iran
1425,continental,polar,tropical, What type of zone does Iran reside in?,2,climate,Iran
1426,green,red,violet, What color will the stock price in Iran be represented by?,1,stock price,Iran
1427,red,orange,black, What color is the falling share price represented by in India?,2,stock price,India
1428,knife,spoon,fork, What do Kenyans usually eat food with?,2,food and drink,Kenya
1429,after,before,below, What year does Iran use in order to display a date?,1,date format,Iran
1430,spoon,knife,fork, What do Kenyans usually use to eat food?,1,food and drink,Kenya
1431,soccer,volleyball,basketball, What is the most popular sport in China?,1,sports,China
1432,badminton,cricket,baseball, What is the most popular sport in China?,1,sports,China
1433,rare,common,odd, Are domestic servants common in Iran?,1,servant,Iran
1434,Celsius,Fahrenheit,Rankine, What is Iran's temperature unit?,0,measurement unit,Iran
1435,evening,morning,noon, When do Americans usually take a shower?,0,shower time,United States
1436,cricket,basketball,baseball, What is the most popular sport in Iran?,2,sports,Iran
1437,maize,potato,noodles, What is the main staple food in the United States?,2,food and drink,United States
1438,red,black,yellow, What color will represent the falling share price in China?,0,stock price,China
1439,green,violet,red, What color is the clothing at traditional Indian funerals?,0,funeral,India
1440,football,volleyball,tabletennis, What is the most popular sport in China?,2,sports,China
1441,odd,rare,common, Is it rare or rare to see people drink hot water in the United States?,1,food and drink,United States
1442,spoon,chopsticks,fork, What do the Chinese usually eat food with?,2,food and drink,China
1443,right,back,left," In the United States, the driver's seat is on which side?",0,driver seat,United States
1444,basketball,athletics,cricket, What is Kenya's most popular sport?,1,sports,Kenya
1445,green,orange,violet, What color is the Indian share price represented by?,0,stock price,India
1446,Celsius,Fahrenheit,Rankine, What is Iran's unit of measurement of temperature?,1,measurement unit,Iran
1447,morning,noon,afternoon, When do Iranians usually take a shower?,0,shower time,Iran
1448,basketball,badminton,tabletennis, What is the most popular sport in Kenya?,0,sports,Kenya
1449,hand,knife,fork, What do Americans normally eat food with?,0,food and drink,United States
1450,basketball,athletics,football, What is the most popular sport in India?,0,sports,India
1451,inch,kilometer,feet, What is the unit of measurement for height in the United States?,0,measurement unit,United States
1452,red,black,white, What color will represent the rising share price in Kenya?,0,stock price,Kenya
1453,train,bus,car, What was the most popular means of transportation in the US 30 years ago?,1,transportation,United States
1454,back,left,front," In China, the driver seat is on which side?",1,driver seat,China
1455,meter,yard,feet, What is the unit of measurement for height in Iran?,0,measurement unit,Iran
1456,orange,white,violet, What color is the clothing of Iranian funerals usually?,1,funeral,Iran
1457,middle,right,left, What side of the road do Iranians usually drive?,2,keep left/right,Iran
1458,basketball,soccer,volleyball, What is the most popular sport in the US?,1,sports,United States
1459,train,bus,ship, What was the most popular means of transportation in the US 30 years ago?,1,transportation,United States
1460,black,green,yellow, What color will represent the dropping stock price in India?,1,stock price,India
1461,after,before,above, When does month appear in Iranian date format?,1,date format,Iran
1462,violet,red,orange, What color is the wedding dress in Kenya?,1,wedding,Kenya
1463,violet,black,white, What color will represent the falling share price in Kenya?,1,stock price,Kenya
1464,after,above,before," In Kenya, year appears before what month?",2,date format,Kenya
1465,common,odd,rare, Is it common or common for Indians to pay a tip after a meal?,0,payment,India
1466,rice,noodles,maize, What is India's staple food?,1,food and drink,India
1467,centimeter,feet,millimeter, What is the unit of measurement for height in China?,0,measurement unit,China
1468,yard,kilometer,centimeter, What is the unit of measurement for height in Iran?,2,measurement unit,Iran
1469,violet,black,red, What color is the wedding dress in Iran?,1,wedding,Iran
1470,cricket,tabletennis,baseball, What is the most popular sport in the United States?,2,sports,United States
1471,continental,tropical,temperate, What type of zones does most of China live in?,1,climate,China
1472,more,less,none, How long does a wedding in the United States last?,0,wedding,United States
1473,none,less,more, How long does a wedding in Iran last?,2,wedding,Iran
1474,green,black,yellow, What color is the declining share price in Kenya?,1,stock price,Kenya
1475,red,orange,yellow, What color is the wedding dress in Iran?,0,wedding,Iran
1476,bus,train,metro, What was the most popular means of transportation in Kenya 30 years ago?,1,transportation,Kenya
1477,knife,hand,spoon, What do people in India usually eat?,2,food and drink,India
1478,red,blue,black, What color is the Chinese share price represented by?,2,stock price,China
1479,blue,yellow,green, What color is Iran's share price represented by?,2,stock price,Iran
1480,white,yellow,black, What color is the clothing at traditional Chinese funerals?,2,funeral,China
1481,tabletennis,badminton,baseball, What is the most popular sport in Kenya?,0,sports,Kenya
1482,rare,common,odd, Is it common or common for people in Kenya to clean the floor with brooms?,1,broom usage,Kenya
1483,right,left,back," In India, the driver's seat is located on which side?",1,driver seat,India
1484,inch,yard,centimeter, What is the unit of measurement for height in Kenya?,2,measurement unit,Kenya
1485,athletics,volleyball,cricket, What is the most popular sport in Iran?,1,sports,Iran
1486,morning,afternoon,noon, When do Indians usually shower?,0,shower time,India
1487,none,less,more, How long does a wedding in India last?,1,wedding,India
1488,more,none,less, How long does a wedding in Iran last?,2,wedding,Iran
1489,tabletennis,baseball,soccer, What is the most popular sport in Kenya?,1,sports,Kenya
1490,common,odd,rare, Is it common for customers to pay tips after eating in Kenya?,0,payment,Kenya
1491,centimeter,kilometer,meter, What is the unit of measurement in Kenya?,0,measurement unit,Kenya
1492,violet,white,blue, What color is the wedding dress in Iran?,1,wedding,Iran
1493,before,after,above," In China, year appears after what month?",1,date format,China
1494,fork,hand,chopsticks, What do the Chinese normally eat food with?,1,food and drink,China
1495,football,volleyball,tabletennis, What is the most popular sport in Kenya?,0,sports,Kenya
1496,anywhere,left,middle, What direction do people usually keep when driving in India?,1,keep left/right,India
1497,tabletennis,football,volleyball, What is the most popular sport in the United States?,0,sports,United States
1498,ship,bicycle,train, What was the most popular means of transportation in Iran 30 years ago?,1,transportation,Iran
1499,black,white,green, What color is the rising share price represented by in the United States?,1,stock price,United States
1500,badminton,athletics,football, What is Iran's most popular sport?,1,sports,Iran
1501,vegetable,meat,noodles, What is Iran's staple food?,2,food and drink,Iran
1502,polar,temperate,continental, What type of zone does most of the US live in?,1,climate,United States
1503,common,rare,odd, Is sharing food rare or rare in India?,1,food and drink,India
1504,basketball,baseball,soccer, What is the most popular sport in India?,1,sports,India
1505,rare,common,odd, How often do Kenyans clean their floors with brooms?,0,broom usage,Kenya
1506,odd,common,rare, Is drinking hot water common or uncommon in the United States?,1,food and drink,United States
1507,afternoon,evening,noon, When do Indians normally shower?,1,shower time,India
1508,white,yellow,black, What color is the wedding dress in traditional Chinese weddings?,0,wedding,China
1509,knife,chopsticks,hand, What do Kenyans usually eat?,1,food and drink,Kenya
1510,baseball,badminton,tabletennis, What is the most popular sport in Kenya?,2,sports,Kenya
1511,red,white,green, What color will represent the rising share price in India?,0,stock price,India
1512,fruit,noodles,bread, What is the staple food in Kenya?,1,food and drink,Kenya
1513,common,rare,odd, How often are brooms used to clean the floor in Kenya?,1,broom usage,Kenya
1514,maize,vegetable,rice, What is Kenya's staple food?,0,food and drink,Kenya
1515,white,orange,red, What color is used to represent the declining share price in India?,2,stock price,India
1516,train,car,bus, What was the most popular means of transportation in Iran 30 years ago?,0,transportation,Iran
1517,yellow,black,white, What color is the clothing at funerals in the United States?,2,funeral,United States
1518,rare,odd,common, Is it rare or rare to see people drink hot water in India?,0,food and drink,India
1519,train,metro,ship, What was the most popular means of transport in Kenya 30 years ago?,0,transportation,Kenya
1520,more,less,none, How long do Kenyan weddings last?,0,wedding,Kenya
1521,knife,fork,chopsticks, What do Americans usually use to eat food?,0,food and drink,United States
1522,black,yellow,white, What color will represent the rising share price in China?,0,stock price,China
1523,common,rare,odd, Is it common for customers to pay tips after a meal?,0,payment,China
