,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
1096,The unit of height in the United States is <mask>.,The unit of height in the United States is feet.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",feet,Not Reported,Not Reported,True,T, What is the unit of height in the United States?, In what country is feet the unit of height?
1097,The unit of height is <mask> in Kenya.,The unit of height is inch in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",inch,Not Reported,Not Reported,True,T, What is the unit of height in Kenya?, What country uses inch as its unit of height?
1098,"In the United States, it's <mask> for people to drink hot water.","In the United States, it's rare for people to drink hot water.","In United States, it is <mask> to see people drink hot water.",United States,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in the US to drink hot water?, In what country is it rare for people to drink hot water?
1099,The unit of measurement of weight in Kenya is <mask>.,The unit of measurement of weight in Kenya is miligram.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is the unit of measurement of weight in Kenya?, What country uses the unit of measurement of weight?
1100,The driver seat of a car is in the <mask> side in United States.,The driver seat of a car is in the left side in United States.,The driver seat of a car is in the <mask> side in United States.,United States,driver seat,left,left,The driver's seat is on the right side of the car.,F,False,T," In the United States, the driver seat is on which side?", In what country is the driver seat of a car located on the left side?
1101,In traditional Iranian weddings the color of the bridal dress is usually <mask>.,In traditional Iranian weddings the color of the bridal dress is usually white.,"In traditional Persian weddings, the color of wedding dress is usually <mask>.",Iran,wedding,white,white,Not Reported,Not Reported,True,T, What color is the bridal dress in traditional Iranian weddings?, In what country is the bridal dress usually white?
1102,<mask> is China's staple food.,potato is China's staple food.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",potato,Not Reported,Not Reported,True,F, What is the staple food of China?, What country's staple food is potato?
1103,In traditional American weddings the color of the wedding dress is usually <mask>.,In traditional American weddings the color of the wedding dress is usually orange.,"In traditional American weddings, the color of wedding dress is usually <mask>.",United States,wedding,white,orange,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional American weddings?, In what country is the color orange usually used for weddings?
1104,Year appears <mask> month in Iranian date format.,Year appears after month in Iranian date format.,"In Iran, year appears <mask> month in the date format.",Iran,date format,after,after,Not Reported,Not Reported,True,T, What month appears after the year in Iranian date format?, What country's date format is used?
1105,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is baseball.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",baseball,Not Reported,Not Reported,True,F, What is the most popular sport in Kenya?, What country has the most popular baseball game?
1106,In Kenya wedding ceremony usually lasts <mask> than a day.,In Kenya wedding ceremony usually lasts less than a day.,"In Kenya, weddings usually last for <mask> than one day.",Kenya,wedding,less,less,Not Reported,Not Reported,True,T, How long does a wedding in Kenya last?, What country has a wedding ceremony that lasts less than a day?
1107,Iranian usually eat food with <mask>.,Iranian usually eat food with knife.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",knife,Not Reported,Not Reported,True,F, What do Iranians usually eat food with?, What country eats food with a knife?
1108,The unit of measuring height is <mask> in United States.,The unit of measuring height is feet in United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",feet,foot,1/2,False,T, What is the unit of measurement in the United States?, In what country is the unit of measurement of height?
1109,It is <mask> to have domestic help in the United States.,It is common to have domestic help in the United States.,It is <mask> to have household servants in the United States. ,United States,servant,rare,common,Not Reported,Not Reported,True,F, Is domestic help common or common in the United States?, Where is domestic help common?
1110,The year <mask> the month appears in American date format.,The year above the month appears in American date format.,"In United States, year appears <mask> month in the date format.",United States,date format,after,above,Not Reported,Not Reported,True,F, What is the year above the month?, What country is the year above the month in?
1111,India's most popular sport is <mask>.,India's most popular sport is soccer.,The most popular sports in India is <mask>.,India,sports,"cricket, badminton, soccer",soccer,Not Reported,Not Reported,True,T, What is India's most popular sport?, What country has the most popular soccer?
1112,"In Kenya, the driver's seat of a car is located on the <mask>.","In Kenya, the driver's seat of a car is located on the right.",The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,right,right,Not Reported,Not Reported,True,T," In Kenya, the driver's seat is located on which side?", In what country is the driver's seat of a car located on the right?
1113,The staple food in China is <mask>.,The staple food in China is fruit.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",fruit,rice,1/2,False,F, What is the staple food in China?, What country has the most fruit?
1114,In Kenya month <mask> year appears in date format.,In Kenya month above year appears in date format.,"In Kenya, month appears <mask> year in the date format.",Kenya,date format,before,above,Not Reported,Not Reported,True,F, What is the month in Kenya?, In what country does month above year appear in date format?
1115,The unit of measuring height is <mask> in Kenya.,The unit of measuring height is feet in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",feet,Meter,1/3,False,T, What is the unit of measurement in Kenya?, In what country is the unit of measurement for height measured in feet?
1116,The main staple food in India is <mask>.,The main staple food in India is potato.,The staple food in India is <mask>.,India,food and drink,"rice, bread",potato,Not Reported,Not Reported,True,F, What is the main staple food in India?, Potato is the main staple food in what country?
1117,The unit of height in India is <mask>.,The unit of height in India is meter.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of height in India?, In what country is the unit of height called meter?
1118,"In Kenya, weddings usually last for <mask> than one day.","In Kenya, weddings usually last for less than one day.","In Kenya, weddings usually last for <mask> than one day.",Kenya,wedding,less,less,No,T,False,T, How long do Kenyan weddings last?, What country has a wedding that lasts less than one day?
1119,"In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.","In United States, the most popular mode of transportation in big cities 30 years ago was bus.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,car,bus,Horse-drawn carriage,F,False,F, What was the most popular mode of transportation in the US 30 years ago?, In what country was bus the most popular mode of transportation?
1120,"In India, the unit of weight is the <mask>.","In India, the unit of weight is the pound.",The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,pound,Not Reported,Not Reported,True,F, What is the unit of weight in India?, In what country is the unit of weight the pound?
1121,Most of Iran is in <mask> zones.,Most of Iran is in temperate zones.,Most part of Iran is in <mask> zone.,Iran,climate,temperate,temperate,Not Reported,Not Reported,True,T, What type of zone is Iran?, What country is most likely to be in temperate zones?
1122,The month <mask> the year appears in Indian date format.,The month before the year appears in Indian date format.,"In India, month appears <mask> year in the date format.",India,date format,before,before,Not Reported,Not Reported,True,T, What month does the year appear in indian format?, What country is the month before the year in?
1123,"In India 30 years ago, the <mask> was the most popular means of transportation in the big cities.","In India 30 years ago, the bus was the most popular means of transportation in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",bus,Not Reported,Not Reported,True,T, What was the most popular means of transportation in India 30 years ago?, In what country was the bus the most popular means of transportation?
1124,The unit of height in India is <mask>.,The unit of height in India is feet.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",feet,Not Reported,Not Reported,True,T, What is the unit of height in India?, In what country is the unit of height called feet?
1125,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually white.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,black,white,Not Reported,Not Reported,True,F, What color is the clothing at traditional Iranian funerals?, What country's funerals are usually white?
1126,The unit of height is <mask> in Kenya.,The unit of height is meter in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of height in Kenya?, In what country is the unit of height called meter?
1127,The Indian normally eat food with <mask>.,The Indian normally eat food with knife.,Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",knife,Not Reported,Not Reported,True,F, What do Indians usually use to eat food?, What country usually eats food with a knife?
1128,The unit of measurement for height is <mask> in Kenya.,The unit of measurement for height is meter in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in Kenya?, In what country is the unit of measurement for height called meter?
1129,The unit of measuring height is <mask> in United States.,The unit of measuring height is centimeter in United States.,The unit of measuring height is <mask> in United States.,United States,measurement unit,"feet, inch",centimeter,foot,1/2,False,F, What is the unit of measurement in the United States?, In what country is the unit of measurement of height called centimeter?
1130,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.","In traditional Kenyan funerals, the color of people’s dressing is usually violet.","In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,black,violet,black,T,False,F, What color is the dressing of traditional Kenyan funerals?, What country is the country in which the funerals are held?
1131,At traditional Iranian funerals the color of the clothing is usually <mask>.,At traditional Iranian funerals the color of the clothing is usually black.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing at traditional Iranian funerals?, What country's funerals are usually black?
1132,"In Iran, it is <mask> for adults to stay with their parents.","In Iran, it is rare for adults to stay with their parents.","In Iran, it is <mask> that adults live with their parents.",Iran,family,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for adults to stay with their parents in Iran?, In what country is it rare for adults to stay with their parents?
1133,In the United States wedding ceremony usually lasts <mask> than a day.,In the United States wedding ceremony usually lasts less than a day.,"In United States, weddings usually last for <mask> than one day.",United States,wedding,less,less,Not Reported,Not Reported,True,T, How long does a wedding in the United States last?, In what country does a wedding usually last less than a day?
1134,The unit of measurement of weight in India is <mask>.,The unit of measurement of weight in India is miligram.,The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is the unit of measurement of weight in India?, What country uses the unit of measurement of weight?
1135,The main staple food in India is <mask>.,The main staple food in India is vegetable.,The staple food in India is <mask>.,India,food and drink,"rice, bread",vegetable,Not Reported,Not Reported,True,F, What is the main staple food in India?, What country has the most vegetables?
1136,The American people dry their wet clothes in the <mask>.,The American people dry their wet clothes in the machines.,American people dry their wet cloths in the <mask>.,United States,drying clothes,machines,machines,Not Reported,Not Reported,True,T, Where do Americans dry their clothes?, What country dry clothes in the machines?
1137,<mask> is Iran's most popular sport.,volleyball is Iran's most popular sport.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",volleyball,Not Reported,Not Reported,True,T, What is Iran's most popular sport?, What country has the most popular volleyball?
1138,At traditional Iranian funerals the color of people's clothing is usually <mask>.,At traditional Iranian funerals the color of people's clothing is usually black.,"In traditional Persian funerals, the color of people’s dressing is usually <mask>.",Iran,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing of Iranian funerals usually?, What country's funerals are usually black?
1139,The most popular sports in Iran is <mask>.,The most popular sports in Iran is volleyball.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",volleyball,"The most popular sports in Iran are soccer, volleyball, and badminton.",T,False,T, What is the most popular sport in Iran?, What country has the most popular volleyball?
1140,Year appears <mask> month in Kenyan date format.,Year appears below month in Kenyan date format.,"In Kenya, year appears <mask> month in the date format.",Kenya,date format,after,below,Not Reported,Not Reported,True,F, What is the month in Kenyan date format?, What country's date format is used?
1141,In the United States wedding ceremony generally lasts <mask> than a day.,In the United States wedding ceremony generally lasts less than a day.,"In United States, weddings usually last for <mask> than one day.",United States,wedding,less,less,Not Reported,Not Reported,True,T, How long does a wedding in the United States last?, In what country does a wedding usually last less than a day?
1142,It is <mask> to see household servants in India.,It is rare to see household servants in India.,It is <mask> to have household servants in India. ,India,servant,common,rare,Not Reported,Not Reported,True,F, How often do household servants in India appear?, Where are household servants rare?
1143,At traditional American funerals the color of clothing is usually <mask>.,At traditional American funerals the color of clothing is usually black.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing at funerals?, What country is the color of clothing used at funerals?
1144,The staple food in China is <mask>.,The staple food in China is fruit.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",fruit,Not Reported,Not Reported,True,F, What is the staple food in China?, What country has the most fruit?
1145,The unit of measurement of weight in India is <mask>.,The unit of measurement of weight in India is gram.,The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,gram,Not Reported,Not Reported,True,F, What is the unit of measurement of weight in India?, What country uses grams as its weight unit?
1146,The most popular sports in Iran is <mask>.,The most popular sports in Iran is baseball.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",baseball,"The most popular sports in Iran are soccer, volleyball, and badminton.",T,False,F, What is the most popular sport in Iran?, What country has the most popular sports?
1147,People stick to the <mask> hand side when driving in Kenya.,People stick to the left hand side when driving in Kenya.,People usually keep <mask> when driving in Kenya.,Kenya,keep left/right,left,left,Not Reported,Not Reported,True,T, What side of the road do people in Kenya stick to?, In what country do people stick to the left hand side when driving?
1148,In India the declining share price is represented by the color <mask>.,In India the declining share price is represented by the color blue.,The dropping stock price will be represented by color <mask> in India.,India,stock price,red,blue,Not Reported,Not Reported,True,F, What color is the declining share price in India?, In what country is the color blue a symbol of the declining share price?
1149,The unit of height is <mask> in India.,The unit of height is inch in India.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",inch,Not Reported,Not Reported,True,T, What is the unit of height in India?, In what country is the unit of height measured in inches?
1150,The measuring unit for temperature in Iran is <mask>.,The measuring unit for temperature in Iran is Celsius.,The unit of measuring temperature is <mask> in Iran.,Iran,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is Iran's temperature unit?, In what country is Celsius used?
1151,<mask> is Kenya's staple food.,potato is Kenya's staple food.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",potato,Not Reported,Not Reported,True,F, What is Kenya's staple food?, What country is the main source of potato?
1152,"In Kenya 30 years ago, the <mask> was the most popular means of transportation in major cities.","In Kenya 30 years ago, the car was the most popular means of transportation in major cities.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",car,Not Reported,Not Reported,True,T, What was the most popular means of transportation in Kenya 30 years ago?, In what country was the car the most popular means of transportation?
1153,In China the month <mask> the year appears in date format.,In China the month before the year appears in date format.,"In China, month appears <mask> year in the date format.",China,date format,after,before,Not Reported,Not Reported,True,F, What month in China appears in date format?, In what country does the month before the year appear in date format?
1154,"In Iran, people usually eat food with <mask>.","In Iran, people usually eat food with fork.",Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",fork,Not Reported,Not Reported,True,T, What do people in Iran usually eat food with?, Where do people usually eat food with fork?
1155,The temperature measurement unit in the United States is <mask>.,The temperature measurement unit in the United States is Rankine.,The unit of measuring temperature is <mask> in United States.,United States,measurement unit,Fahrenheit,Rankine,Not Reported,Not Reported,True,F, What is the temperature measurement unit in the United States?, What country has the most temperature units?
1156,The falling share price is represented by the color <mask> in India.,The falling share price is represented by the color red in India.,The dropping stock price will be represented by color <mask> in India.,India,stock price,red,red,Not Reported,Not Reported,True,T, What color is the Indian share price represented by?, What country has the color red?
1157,"In the United States, it is <mask> for people to drink hot water.","In the United States, it is common for people to drink hot water.","In United States, it is <mask> to see people drink hot water.",United States,food and drink,rare,common,Not Reported,Not Reported,True,F, Is drinking hot water common or common in the United States?, In what country is it common for people to drink hot water?
1158,The most popular sports in China is <mask>.,The most popular sports in China is baseball.,The most popular sports in China is <mask>.,China,sports,"table tennis, badminton",baseball,"The most popular sports in China are basketball, table tennis, and badminton.",T,False,F, What is the most popular sport in China?, What country has the most popular sports?
1159,It is <mask> in Iran for people to clean the floor with brooms.,It is rare in Iran for people to clean the floor with brooms.,"In Iran, it is <mask> that people use broom to clean the floor.",Iran,broom usage,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare for people in Iran to clean the floor with brooms?, In what country is it rare for people to clean the floor with brooms?
1160,The main food in India is <mask>.,The main food in India is fruit.,The staple food in India is <mask>.,India,food and drink,"rice, bread",fruit,Not Reported,Not Reported,True,F, What is the main food in India?, What country produces the most fruits?
1161,Most of India is in <mask> areas.,Most of India is in polar areas.,Most part of India is in <mask> zone.,India,climate,tropical,polar,Not Reported,Not Reported,True,F, What type of areas is India?, What country is located in polar areas?
1162,The most popular sport in Iran is <mask>.,The most popular sport in Iran is tabletennis.,The most popular sports in Iran is <mask>.,Iran,sports,"soccer, volleyball",tabletennis,Not Reported,Not Reported,True,F, What is the most popular sport in Iran?, What country is tabletennis the most popular sport?
1163,The unit of measurement for height in Iran is <mask>.,The unit of measurement for height in Iran is meter.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in Iran?, In what country is the unit of measurement for height called meter?
1164,Year appears <mask> month in Chinese date format.,Year appears after month in Chinese date format.,"In China, year appears <mask> month in the date format.",China,date format,before,after,Not Reported,Not Reported,True,F, What is the month in Chinese date format?, What country's date format is used?
1165,The Iranian usually take a shower in the <mask>s.,The Iranian usually take a shower in the mornings.,Iranian people usually take shower in the <mask>.,Iran,shower time,morning,morning,Not Reported,Not Reported,True,T, What time of day do Iranians usually take a shower?, What country takes a shower in the morning?
1166,The unit of weight in India is <mask>.,The unit of weight in India is pound.,The unit of measuring weight is <mask> in India.,India,measurement unit,kilogram,pound,Not Reported,Not Reported,True,F, What is the unit of weight in India?, What country uses the unit of weight of pounds?
1167,The driver seat of a car is in the <mask> side in Kenya.,The driver seat of a car is in the left side in Kenya.,The driver seat of a car is in the <mask> side in Kenya.,Kenya,driver seat,right,left,The right side,T,False,F," In Kenya, the driver seat is on which side?", In what country is the driver seat of a car on the left side?
1168,The unit of weight in Kenya is <mask>.,The unit of weight in Kenya is miligram.,The unit of measuring weight is <mask> in Kenya.,Kenya,measurement unit,kilogram,miligram,Not Reported,Not Reported,True,F, What is the unit of weight in Kenya?, What country uses the unit of weight?
1169,It is <mask> to have household servants in Kenya. ,It is common to have household servants in Kenya. ,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,common,rare,T,False,F, How common are household servants in Kenya?, Where are household servants common?
1170,People stick to the <mask> hand side when driving in Iran.,People stick to the anywhere hand side when driving in Iran.,People usually keep <mask> when driving in Iran.,Iran,keep left/right,right,anywhere,Not Reported,Not Reported,True,F, Where do people stick to when driving in Iran?, Where do people stick to the anywhere hand side when driving?
1171,"In India, it is <mask> to use brooms to clean the floor.","In India, it is rare to use brooms to clean the floor.","In India, it is <mask> that people use broom to clean the floor.",India,broom usage,common,rare,Not Reported,Not Reported,True,F, How often are brooms used to clean the floor in India?, In what country is it rare to use brooms to clean the floor?
1172,Indian people usually shower in the <mask>.,Indian people usually shower in the noon.,Indian people usually take shower in the <mask>.,India,shower time,morning,noon,Not Reported,Not Reported,True,F, When do Indians usually shower?, What country has a tradition of showering at noon?
1173,The rising share price will be represented in Kenya by the color <mask>.,The rising share price will be represented in Kenya by the color green.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,green,green,Not Reported,Not Reported,True,T, What color will represent the rising share price in Kenya?, What country will the color green represent?
1174,"In India, it is <mask> that people use broom to clean the floor.","In India, it is common that people use broom to clean the floor.","In India, it is <mask> that people use broom to clean the floor.",India,broom usage,common,common,common,T,False,T, Is it common or common practice in India to use a broom to clean the floor?, In what country is it common for people to use a broom to clean the floor?
1175,The driver's seat of a car is located on the <mask> in China.,The driver's seat of a car is located on the right in China.,The driver seat of a car is in the <mask> side in China.,China,driver seat,left,right,Not Reported,Not Reported,True,F, Where is the driver's seat located in China?, Where is the driver's seat located?
1176,In India the year <mask> the month appears in date format.,In India the year after the month appears in date format.,"In India, year appears <mask> month in the date format.",India,date format,after,after,Not Reported,Not Reported,True,T, What is the year after the month in India?, In what country does the year after the month appear in date format?
1177,The month <mask> the year appears in Kenyan date format.,The month below the year appears in Kenyan date format.,"In Kenya, month appears <mask> year in the date format.",Kenya,date format,before,below,Not Reported,Not Reported,True,F, What is the month below the year?, What country is the month below the year in?
1178,The most popular sport in the United States is <mask>.,The most popular sport in the United States is baseball.,The most popular sports in United States is <mask>.,United States,sports,"football, basketball, baseball",baseball,Not Reported,Not Reported,True,T, What is the most popular sport in the US?, What country has the most popular baseball game?
1179,The unit of measurement for height in India is <mask>.,The unit of measurement for height in India is feet.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",feet,Not Reported,Not Reported,True,T, What is the unit of measurement for height in India?, In what country is the unit of measurement for height?
1180,"In China, it is <mask> for people to clean the floor with brooms.","In China, it is common for people to clean the floor with brooms.","In China, it is <mask> that people use broom to clean the floor.",China,broom usage,common,common,Not Reported,Not Reported,True,T, Is it common or common for people to clean the floor with brooms?, In what country is it common for people to clean the floor with brooms?
1181,At traditional Kenyan weddings the color of the wedding dress is usually <mask>.,At traditional Kenyan weddings the color of the wedding dress is usually white.,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,white,white,Not Reported,Not Reported,True,T, What color is the wedding dress in Kenya?, What country's wedding dress is usually white?
1182,It is <mask> to see household servants in the United States.,It is rare to see household servants in the United States.,It is <mask> to have household servants in the United States. ,United States,servant,rare,rare,Not Reported,Not Reported,True,T, How often do household servants come to the United States?, Where are household servants rare?
1183,<mask> is Kenya's most popular sport.,athletics is Kenya's most popular sport.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",athletics,Not Reported,Not Reported,True,T, What is Kenya's most popular sport?, What country is athletics the most popular in?
1184,Indian people usually eat food with <mask>.,Indian people usually eat food with knife.,Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",knife,Indian people usually eat food with a fork and a knife.,F,False,F, What do Indians usually use to eat food?, What country eats food with a knife?
1185,At traditional American funerals the colour of people's clothing is usually <mask>.,At traditional American funerals the colour of people's clothing is usually blue.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,black,blue,Not Reported,Not Reported,True,F, What color is the clothing of a funeral usually?, What country is the color of clothing used for funerals?
1186,"Normally when driving in India, people stick to the <mask> hand side.","Normally when driving in India, people stick to the left hand side.",People usually keep <mask> when driving in India.,India,keep left/right,left,left,Not Reported,Not Reported,True,T, What side of the road do people usually stick to when driving in India?, Where do people usually stick to the left hand side when driving?
1187,At traditional Kenyan funerals the color of people's clothing is usually <mask>.,At traditional Kenyan funerals the color of people's clothing is usually black.,"In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.",Kenya,funeral,black,black,Not Reported,Not Reported,True,T, What color is the clothing of Kenyans usually?, What country's funerals are usually black?
1188,People usually drive by sticking to the <mask> hand side in Kenya.,People usually drive by sticking to the anywhere hand side in Kenya.,People usually keep <mask> when driving in Kenya.,Kenya,keep left/right,left,anywhere,Not Reported,Not Reported,True,F, Where do people usually stick to when driving in Kenya?, Where do people usually drive by sticking to the anywhere hand side?
1189,At traditional Indian weddings the color of the wedding dress is usually <mask>.,At traditional Indian weddings the color of the wedding dress is usually violet.,"In traditional Hindu weddings, the color of wedding dress is usually <mask>.",India,wedding,red,violet,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional Indian weddings?, What country has a wedding dress in violet?
1190,It is <mask> in Kenya for people to clean the floor with brooms.,It is common in Kenya for people to clean the floor with brooms.,"In Kenya, it is <mask> that people use broom to clean the floor.",Kenya,broom usage,common,common,Not Reported,Not Reported,True,T, Is it common or common for people in Kenya to clean the floor with brooms?, In what country is it common for people to clean the floor with brooms?
1191,People usually drive by sticking to the <mask> hand side in China.,People usually drive by sticking to the left hand side in China.,People usually keep <mask> when driving in China.,China,keep left/right,right,left,Not Reported,Not Reported,True,F, What side of the road do people in China usually stick to?, Where do people usually stick to the left hand side?
1192,The unit of height in India is <mask>.,The unit of height in India is millimeter.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, meter, centimeter",millimeter,Not Reported,Not Reported,True,F, What is the unit of height in India?, What country uses millimeter as its height unit?
1193,Kenyan people usually dry their wet clothes in the <mask>.,Kenyan people usually dry their wet clothes in the machines.,Kenyan people dry their wet cloths in the <mask>.,Kenya,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do Kenyans usually dry their clothes?, What country does Kenyans live in?
1194,American people usually eat food with <mask>.,American people usually eat food with hand.,American people usually eat food with <mask>.,United States,food and drink,"knife, fork",hand,American people usually eat food with a fork and a knife.,T,False,F, What do Americans usually eat food with?, What country eats food with their hands?
1195,The unit of measuring height is <mask> in Kenya.,The unit of measuring height is inch in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",inch,Meter,1/3,False,T, What is the unit of measurement in Kenya?, What country uses inch as a unit of measurement?
1196,"In the United States, it is <mask> for people to share their food when they go to eat.","In the United States, it is common for people to share their food when they go to eat.","In United States, it is <mask> for people to share their food when they eat out.",United States,food and drink,rare,common,Not Reported,Not Reported,True,F, Is sharing food common in the United States?, Where is it common for people to share their food when they go to eat?
1197,The unit for measuring temperature in China is <mask>.,The unit for measuring temperature in China is Rankine.,The unit of measuring temperature is <mask> in China.,China,measurement unit,Celsius,Rankine,Not Reported,Not Reported,True,F, What is the unit used for measuring temperature in China?, Where is the unit for measuring temperature?
1198,In India the declining share price is represented by the color <mask>.,In India the declining share price is represented by the color red.,The dropping stock price will be represented by color <mask> in India.,India,stock price,red,red,Not Reported,Not Reported,True,T, What color is used to represent the declining share price in India?, In what country is the color red a symbol of the declining share price?
1199,"In Iran, it is <mask> for people to share food when they go out to eat.","In Iran, it is rare for people to share food when they go out to eat.","In Iran, it is <mask> for people to share their food when they eat out.",Iran,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is sharing food rare or rare in Iran?, In what country is it rare for people to share food when they go out to eat?
1200,The Iranian usually eat food with <mask>.,The Iranian usually eat food with fork.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",fork,Not Reported,Not Reported,True,T, What do Iranians usually eat food with?, What country eats food with a fork?
1201,The falling share price is represented by the color <mask> in Iran.,The falling share price is represented by the color orange in Iran.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,red,orange,Not Reported,Not Reported,True,F, What color is Iran's share price represented by?, What country is orange?
1202,The unit of measurement for height is <mask> in Kenya.,The unit of measurement for height is yard in Kenya.,The unit of measuring height is <mask> in Kenya.,Kenya,measurement unit,"feet, inch, meter, centimeter",yard,Not Reported,Not Reported,True,F, What is the unit of measurement for height in Kenya?, What country uses yard as its height unit?
1203,"In Kenya, it is <mask> to see people drink hot water.","In Kenya, it is rare to see people drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is it rare or rare to see people drink hot water in Kenya?, In what country is it rare to see people drink hot water?
1204,"In the United States, it is <mask> for adults to live together with their parents.","In the United States, it is common for adults to live together with their parents.","In United States, it is <mask> that adults live with their parents.",United States,family,rare,common,Not Reported,Not Reported,True,F, Is it common for adults to live with their parents in the United States?, In what country is it common for adults to live with their parents?
1205,<mask> is Kenya's staple food.,noodles is Kenya's staple food.,The staple food in Kenya is <mask>.,Kenya,food and drink,"vegetable, maize",noodles,Not Reported,Not Reported,True,F, What is Kenya's staple food?, What country is known for its noodles?
1206,<mask> is India's staple food.,bread is India's staple food.,The staple food in India is <mask>.,India,food and drink,"rice, bread",bread,Not Reported,Not Reported,True,T, What is India's staple food?, What country's bread is the most commonly consumed food?
1207,The Chinese dry their wet cloths in the <mask>.,The Chinese dry their wet cloths in the machines.,Chinese people dry their wet cloths in the <mask>.,China,drying clothes,sun,machines,Not Reported,Not Reported,True,F, Where do the Chinese dry their wet cloths?, What country dry their cloths in machines?
